trial_num,phase,timestamp,event_type,shape,position,additional_info
0,AG,12.812883599952329,videoStart,all,center,video=balloons_5
0,AG,17.969502499967348,videoEnd,all,center,"video=balloons_5, duration=5.14s"
1,training,19.47866989998147,trial_start,all,,shape_order=circle-cross-star-t
1,training,20.483684799983166,fixator_end,all,,
1,training,20.502179700008128,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
1,training,22.316161499998998,animation_end,circle,"(-480.0, -270.0)",duration=1814ms
1,training,22.335015899967402,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
1,training,24.14902109996183,animation_end,cross,"(480.0, -270.0)",duration=1814ms
1,training,24.167374499957077,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
1,training,25.94857799995225,animation_end,star,"(-480.0, 270.0)",duration=1781ms
1,training,25.96673429996008,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
1,training,27.78077489999123,animation_end,t,"(480.0, 270.0)",duration=1814ms
1,training,27.79945259995293,trial_end,all,,shapes_shown=circle-cross-star-t
2,training,28.802926899981685,trial_start,all,,shape_order=circle-cross-star-t
2,training,29.814011699985713,fixator_end,all,,
2,training,29.83219079999253,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
2,training,31.646363199979533,animation_end,circle,"(-480.0, -270.0)",duration=1814ms
2,training,31.66422390000662,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
2,training,33.479254200006835,animation_end,cross,"(480.0, -270.0)",duration=1815ms
2,training,33.497474399977364,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
2,training,35.31200249999529,animation_end,star,"(-480.0, 270.0)",duration=1815ms
2,training,35.33063029998448,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
2,training,37.14433679997455,animation_end,t,"(480.0, 270.0)",duration=1814ms
2,training,37.16290759999538,trial_end,all,,shapes_shown=circle-cross-star-t
3,training,38.16738820000319,trial_start,all,,shape_order=circle-cross-star-t
3,training,39.17716719995951,fixator_end,all,,
3,training,39.195868299982976,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
3,training,41.010408099973574,animation_end,circle,"(-480.0, -270.0)",duration=1815ms
3,training,41.028218999970704,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
3,training,42.842836799973156,animation_end,cross,"(480.0, -270.0)",duration=1815ms
3,training,42.86132279998856,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
3,training,44.675707099959254,animation_end,star,"(-480.0, 270.0)",duration=1814ms
3,training,44.69364089996088,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
3,training,46.50811049999902,animation_end,t,"(480.0, 270.0)",duration=1814ms
3,training,46.52672069997061,trial_end,all,,shapes_shown=circle-cross-star-t
4,training,47.54220530000748,trial_start,all,,shape_order=circle-cross-star-t
4,training,48.55839039996499,fixator_end,all,,
4,training,48.57546419999562,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
4,training,50.37369929999113,animation_end,circle,"(-480.0, -270.0)",duration=1798ms
4,training,50.392091599991545,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
4,training,52.20641789998626,animation_end,cross,"(480.0, -270.0)",duration=1814ms
4,training,52.22481250000419,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
4,training,54.039068199985195,animation_end,star,"(-480.0, 270.0)",duration=1814ms
4,training,54.05701869999757,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
4,training,55.871861699968576,animation_end,t,"(480.0, 270.0)",duration=1815ms
4,training,55.889423899992835,trial_end,all,,shapes_shown=circle-cross-star-t
4,AG,56.904986799985636,videoStart,all,center,video=bouncyballs_5
4,AG,62.08084059995599,videoEnd,all,center,"video=bouncyballs_5, duration=5.14s"
5,training,63.589189299964346,trial_start,all,,shape_order=circle-cross-star-t
5,training,64.60400569997728,fixator_end,all,,
5,training,64.62067519995617,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
5,training,66.41854499996407,animation_end,circle,"(-480.0, -270.0)",duration=1798ms
5,training,66.43621349998284,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
5,training,68.25097759999335,animation_end,cross,"(480.0, -270.0)",duration=1815ms
5,training,68.26893419999396,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
5,training,70.05038679996505,animation_end,star,"(-480.0, 270.0)",duration=1781ms
5,training,70.06899159995373,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
5,training,71.88335019996157,animation_end,t,"(480.0, 270.0)",duration=1814ms
5,training,71.90120799996657,trial_end,all,,shapes_shown=circle-cross-star-t
6,training,72.91444189997856,trial_start,all,,shape_order=circle-cross-star-t
6,training,73.91584029997466,fixator_end,all,,
6,training,73.93440779997036,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
6,training,75.73327999998583,animation_end,circle,"(-480.0, -270.0)",duration=1799ms
6,training,75.75013499998022,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
6,training,77.54771309997886,animation_end,cross,"(480.0, -270.0)",duration=1798ms
6,training,77.56602199998451,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
6,training,79.38072449999163,animation_end,star,"(-480.0, 270.0)",duration=1815ms
6,training,79.39867129997583,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
