trial_num,phase,timestamp,event_type,shape,position,additional_info
0,AG,1464.7443769001402,videoStart,all,center,video=balloons_5
0,AG,1469.9061087002046,videoEnd,all,center,"video=balloons_5, duration=5.14s"
1,training,1471.4204424000345,trial_start,all,,shape_order=circle-cross-star-t
1,training,1472.4232218000107,fixator_end,all,,
1,training,1473.1924190002028,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
1,training,1474.9895791001618,animation_end,circle,"(-480.0, -270.0)",duration=1797ms
1,training,1475.5088436000515,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
1,training,1477.306190900039,animation_end,cross,"(480.0, -270.0)",duration=1797ms
1,training,1478.0751382000744,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
1,training,1479.8726373000536,animation_end,star,"(-480.0, 270.0)",duration=1797ms
1,training,1479.8895589001477,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
1,training,1481.6881517001893,animation_end,t,"(480.0, 270.0)",duration=1799ms
1,training,1481.7044710000046,trial_end,all,,shapes_shown=circle-cross-star-t
2,training,1482.709894800093,trial_start,all,,shape_order=circle-cross-star-t
2,training,1483.7210201001726,fixator_end,all,,
2,training,1483.7378861000761,animation_start,circle,"(-480.0, -270.0)",sequence_position=1/4
2,training,1485.5544175000396,animation_end,circle,"(-480.0, -270.0)",duration=1817ms
2,training,1486.324159100186,animation_start,cross,"(480.0, -270.0)",sequence_position=2/4
2,training,1488.1199267001357,animation_end,cross,"(480.0, -270.0)",duration=1796ms
2,training,1488.38939450006,animation_start,star,"(-480.0, 270.0)",sequence_position=3/4
2,training,1490.1866205001716,animation_end,star,"(-480.0, 270.0)",duration=1797ms
2,training,1491.2033424000256,animation_start,t,"(480.0, 270.0)",sequence_position=4/4
2,training,1493.0184275000356,animation_end,t,"(480.0, 270.0)",duration=1815ms
2,training,1493.0355497000273,trial_end,all,,shapes_shown=circle-cross-star-t
3,training,1494.0499377001543,trial_start,all,,shape_order=circle-cross-star-t
3,training,1495.0682830000296,fixator_end,all,,
