pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
276.299		860.0	391.0	1	864.0	362.0	1	862	376	3.815	1	3.9576	1
279.393		860.0	388.0	1	860.0	362.0	1	860	375	3.8136	1	3.9602	1
282.755		860.0	394.0	1	864.0	369.0	1	862	381	3.8116	1	3.9586	1
285.837		863.0	393.0	1	861.0	366.0	1	862	379	3.8128	1	3.9636	1
289.221		860.0	392.0	1	866.0	375.0	1	863	383	3.813	1	3.9598	1
292.64		858.0	391.0	1	864.0	375.0	1	861	383	3.8149	1	3.9581	1
295.958		860.0	392.0	1	863.0	374.0	1	862	383	3.813	1	3.961	1
299.144		860.0	395.0	1	862.0	372.0	1	861	383	3.8143	1	3.9626	1
302.404		860.0	391.0	1	861.0	371.0	1	860	381	3.815	1	3.9636	1
306.015		859.0	393.0	1	860.0	365.0	1	860	379	3.8158	1	3.9669	1
309.177		861.0	392.0	1	857.0	362.0	1	859	377	3.8173	1	3.9696	1
312.497		859.0	394.0	1	861.0	362.0	1	860	378	3.8183	1	3.9664	1
315.747		857.0	391.0	1	859.0	363.0	1	858	377	3.8178	1	3.9696	1
319.152		858.0	390.0	1	858.0	360.0	1	858	375	3.8184	1	3.9704	1
322.452		857.0	391.0	1	860.0	363.0	1	858	377	3.8193	1	3.9717	1
325.754		858.0	391.0	1	859.0	358.0	1	858	374	3.8232	1	3.9728	1
329.027		860.0	396.0	1	861.0	362.0	1	860	379	3.8239	1	3.9726	1
332.381		858.0	392.0	1	863.0	359.0	1	860	375	3.8236	1	3.9739	1
335.854		858.0	394.0	1	864.0	363.0	1	861	378	3.8216	1	3.975	1
339.053		858.0	391.0	1	862.0	356.0	1	860	373	3.8254	1	3.9736	1
342.484		856.0	393.0	1	863.0	357.0	1	860	375	3.8247	1	3.9777	1
345.727		859.0	394.0	1	860.0	357.0	1	860	375	3.8287	1	3.9821	1
349.103		855.0	393.0	1	861.0	355.0	1	858	374	3.8265	1	3.9824	1
352.429		857.0	393.0	1	861.0	355.0	1	859	374	3.8289	1	3.9777	1
355.794		856.0	394.0	1	860.0	354.0	1	858	374	3.8281	1	3.9798	1
359.099		858.0	393.0	1	861.0	358.0	1	860	375	3.8305	1	3.9819	1
362.488		857.0	394.0	1	863.0	362.0	1	860	378	3.8336	1	3.9795	1
365.96		857.0	393.0	1	864.0	366.0	1	860	379	3.8323	1	3.9747	1
369.115		857.0	392.0	1	862.0	364.0	1	860	378	3.8302	1	3.9791	1
372.423		857.0	392.0	1	860.0	365.0	1	858	378	3.8331	1	3.9747	1
375.87		858.0	394.0	1	863.0	356.0	1	860	375	3.8323	1	3.9814	1
379.124		856.0	394.0	1	859.0	359.0	1	858	376	3.8362	1	3.9826	1
382.444		859.0	394.0	1	857.0	362.0	1	858	378	3.8347	1	3.982	1
385.918		857.0	391.0	1	859.0	363.0	1	858	377	3.8374	1	3.9803	1
389.02		856.0	394.0	1	860.0	368.0	1	858	381	3.8381	1	3.9802	1
392.437		858.0	391.0	1	859.0	364.0	1	858	377	3.838	1	3.9808	1
395.785		856.0	393.0	1	860.0	368.0	1	858	380	3.8398	1	3.9773	1
399.189		856.0	393.0	1	859.0	358.0	1	858	375	3.8409	1	3.9851	1
402.419		856.0	390.0	1	857.0	357.0	1	856	373	3.8419	1	3.9845	1
405.809		856.0	391.0	1	857.0	357.0	1	856	374	3.8432	1	3.9837	1
409.484		854.0	391.0	1	857.0	357.0	1	856	374	3.8429	1	3.9837	1
412.438		858.0	391.0	1	857.0	358.0	1	858	374	3.8461	1	3.9848	1
415.924		856.0	389.0	1	855.0	364.0	1	856	376	3.8457	1	3.9821	1
419.348		856.0	392.0	1	860.0	363.0	1	858	377	3.8458	1	3.9809	1
422.44		855.0	391.0	1	856.0	363.0	1	856	377	3.8454	1	3.9814	1
425.824		856.0	390.0	1	856.0	360.0	1	856	375	3.8453	1	3.983	1
429.213		857.0	390.0	1	855.0	357.0	1	856	373	3.8493	1	3.9849	1
432.44		856.0	392.0	1	856.0	363.0	1	856	377	3.849	1	3.9838	1
435.782		856.0	391.0	1	852.0	360.0	1	854	375	3.8509	1	3.9867	1
439.299		856.0	391.0	1	850.0	342.0	1	853	366	3.8509	1	3.9946	1
442.495		854.0	391.0	1	856.0	355.0	1	855	373	3.8495	1	3.9883	1
445.679		855.0	391.0	1	854.0	359.0	1	854	375	3.8524	1	3.9831	1
449.239		856.0	392.0	1	857.0	359.0	1	856	375	3.8532	1	3.9858	1
452.356		857.0	388.0	1	859.0	364.0	1	858	376	3.854	1	3.9842	1
455.654		854.0	393.0	1	858.0	365.0	1	856	379	3.8558	1	3.9848	1
459.224		856.0	394.0	1	853.0	357.0	1	854	375	3.8581	1	3.988	1
462.506		855.0	390.0	1	858.0	358.0	1	856	374	3.8578	1	3.9882	1
465.857		855.0	386.0	1	856.0	357.0	1	856	371	3.8589	1	3.9893	1
469.069		855.0	389.0	1	854.0	353.0	1	854	371	3.8588	1	3.988	1
472.409		854.0	388.0	1	854.0	352.0	1	854	370	3.8573	1	3.9914	1
475.789		856.0	390.0	1	848.0	347.0	1	852	368	3.8584	1	3.9944	1
479.172		855.0	389.0	1	854.0	335.0	1	854	362	3.8607	1	4.0	1
482.49		854.0	389.0	1	852.0	337.0	1	853	363	3.8616	1	4.001	1
485.768		854.0	390.0	1	855.0	357.0	1	854	373	3.8601	1	3.9916	1
488.997		856.0	390.0	1	855.0	359.0	1	856	374	3.8582	1	3.9899	1
492.434		856.0	390.0	1	858.0	361.0	1	857	375	3.8589	1	3.9898	1
495.814		857.0	390.0	1	858.0	364.0	1	858	377	3.8648	1	3.9897	1
499.213		857.0	390.0	1	856.0	361.0	1	856	375	3.8637	1	3.9913	1
502.458		855.0	392.0	1	854.0	355.0	1	854	373	3.8642	1	3.9941	1
505.768		855.0	391.0	1	853.0	355.0	1	854	373	3.8632	1	3.9951	1
509.211		855.0	392.0	1	854.0	355.0	1	854	373	3.863	1	3.9923	1
512.586		857.0	392.0	1	857.0	357.0	1	857	374	3.8628	1	3.9921	1
516.067		856.0	389.0	1	859.0	359.0	1	858	374	3.8652	1	3.9924	1
519.284		854.0	387.0	1	858.0	362.0	1	856	374	3.8645	1	3.9945	1
522.566		854.0	388.0	1	856.0	361.0	1	855	374	3.8647	1	3.994	1
525.931		854.0	387.0	1	857.0	361.0	1	856	374	3.8656	1	3.9935	1
529.351		854.0	388.0	1	856.0	357.0	1	855	372	3.8666	1	3.996	1
532.959		854.0	389.0	1	853.0	353.0	1	854	371	3.8671	1	4.0007	1
536.027		857.0	390.0	1	853.0	352.0	1	855	371	3.8658	1	4.0023	1
539.412		858.0	390.0	1	849.0	347.0	1	854	368	3.8664	1	4.0043	1
542.6		859.0	389.0	1	856.0	354.0	1	858	371	3.8652	1	3.9997	1
545.908		859.0	389.0	1	856.0	358.0	1	858	373	3.8682	1	3.9999	1
549.419		858.0	387.0	1	858.0	364.0	1	858	375	3.8684	1	3.9978	1
552.785		857.0	386.0	1	855.0	358.0	1	856	372	3.8697	1	3.9996	1
555.905		855.0	386.0	1	858.0	359.0	1	856	372	3.8694	1	4.0035	1
559.316		856.0	387.0	1	857.0	359.0	1	856	373	3.8689	1	3.9977	1
562.596		857.0	387.0	1	860.0	358.0	1	858	372	3.8688	1	4.0004	1
565.902		858.0	387.0	1	859.0	357.0	1	858	372	3.8678	1	4.0018	1
569.35		857.0	389.0	1	853.0	335.0	1	855	362	3.8692	1	4.0111	1
572.584		855.0	387.0	1	852.0	335.0	1	854	361	3.8669	1	4.0122	1
575.899		857.0	388.0	1	856.0	353.0	1	856	370	3.8703	1	4.0035	1
579.198		856.0	388.0	1	855.0	352.0	1	856	370	3.8697	1	4.0063	1
582.617		854.0	387.0	1	854.0	353.0	1	854	370	3.8712	1	4.0054	1
585.939		855.0	387.0	1	853.0	346.0	1	854	366	3.8699	1	4.0113	1
589.379		854.0	384.0	1	851.0	344.0	1	852	364	3.8721	1	4.013	1
592.657		856.0	385.0	1	850.0	346.0	1	853	365	3.8717	1	4.0136	1
595.799		858.0	387.0	1	850.0	348.0	1	854	367	3.8679	1	4.0102	1
599.39		857.0	386.0	1	850.0	348.0	1	854	367	3.8694	1	4.0116	1
602.59		856.0	384.0	1	852.0	351.0	1	854	367	3.8705	1	4.014	1
606.054		857.0	383.0	1	852.0	352.0	1	854	367	3.8679	1	4.014	1
609.142		857.0	384.0	1	848.0	349.0	1	852	366	3.871	1	4.0115	1
612.594		859.0	384.0	1	848.0	349.0	1	854	366	3.8688	1	4.015	1
616.037		857.0	384.0	1	848.0	350.0	1	852	367	3.8681	1	4.0159	1
619.339		857.0	384.0	1	849.0	347.0	1	853	365	3.8698	1	4.019	1
