pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
276.786		-1	-1	0	1565.0	758.0	1	1565.0	758.0	-1	0	4.6927	1
280.042		-1	-1	0	1604.0	749.0	1	1604.0	749.0	-1	0	4.7695	1
283.891		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
287.14		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
290.26		-1	-1	0	1561.0	764.0	1	1561.0	764.0	-1	0	4.7354	1
293.674		-1	-1	0	1598.0	744.0	1	1598.0	744.0	-1	0	4.7674	1
296.57		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
299.961		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
304.429		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
307.076		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
310.102		1207.0	871.0	1	-1	-1	0	1207.0	871.0	4.5618	1	-1	0
313.325		3190.0	723.0	1	-1	-1	0	3190.0	723.0	5.1792	1	-1	0
316.693		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
320.469		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
323.575		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
326.845		-1	-1	0	1630.0	752.0	1	1630.0	752.0	-1	0	4.7024	1
330.156		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
333.47		-1	-1	0	1611.0	741.0	1	1611.0	741.0	-1	0	4.7709	1
337.395		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
340.141		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
344.008		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
347.256		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
350.102		-1	-1	0	1616.0	737.0	1	1616.0	737.0	-1	0	4.7492	1
354.143		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
356.883		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
359.816		-1	-1	0	1613.0	756.0	1	1613.0	756.0	-1	0	4.6609	1
363.569		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
366.998		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
370.835		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
373.721		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
377.229		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
380.616		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
383.74		-1	-1	0	1597.0	750.0	1	1597.0	750.0	-1	0	4.7569	1
387.092		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
390.229		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
393.788		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
396.89		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
400.663		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
403.992		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
407.112		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
410.392		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
413.538		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
417.084		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
