pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
272.216		691.0	407.0	1	667.0	437.0	1	679	422	4.4397	1	4.4988	1
275.244		687.0	407.0	1	666.0	433.0	1	676	420	4.4405	1	4.501	1
278.649		688.0	405.0	1	666.0	440.0	1	677	422	4.4389	1	4.5038	1
281.838		688.0	407.0	1	664.0	437.0	1	676	422	4.4419	1	4.5047	1
285.442		689.0	410.0	1	668.0	437.0	1	678	423	4.4424	1	4.5085	1
288.635		688.0	404.0	1	667.0	442.0	1	678	423	4.4417	1	4.5132	1
291.816		687.0	405.0	1	671.0	434.0	1	679	419	4.4433	1	4.5032	1
295.241		687.0	406.0	1	670.0	437.0	1	678	421	4.4486	1	4.5147	1
298.593		690.0	406.0	1	668.0	439.0	1	679	422	4.4459	1	4.5127	1
301.643		692.0	404.0	1	667.0	439.0	1	680	421	4.4505	1	4.5157	1
305.054		689.0	404.0	1	666.0	437.0	1	678	420	4.4529	1	4.5164	1
308.53		691.0	406.0	1	666.0	440.0	1	678	423	4.4526	1	4.5255	1
311.776		690.0	402.0	1	666.0	440.0	1	678	421	4.455	1	4.5273	1
315.027		691.0	409.0	1	667.0	442.0	1	679	425	4.461	1	4.5287	1
318.121		689.0	403.0	1	668.0	435.0	1	678	419	4.46	1	4.519	1
321.595		690.0	406.0	1	668.0	435.0	1	679	420	4.4588	1	4.5208	1
324.961		691.0	405.0	1	667.0	437.0	1	679	421	4.4604	1	4.5267	1
328.314		691.0	401.0	1	666.0	433.0	1	678	417	4.4606	1	4.5261	1
331.49		689.0	406.0	1	666.0	436.0	1	678	421	4.4627	1	4.5379	1
334.847		691.0	407.0	1	666.0	438.0	1	678	422	4.4678	1	4.5381	1
338.334		690.0	400.0	1	667.0	436.0	1	678	418	4.4686	1	4.5331	1
341.617		690.0	401.0	1	666.0	437.0	1	678	419	4.4701	1	4.5369	1
345.048		690.0	403.0	1	666.0	435.0	1	678	419	4.4712	1	4.5349	1
348.344		691.0	404.0	1	667.0	435.0	1	679	419	4.4725	1	4.5339	1
351.607		690.0	405.0	1	666.0	438.0	1	678	421	4.4747	1	4.5392	1
355.029		692.0	405.0	1	668.0	438.0	1	680	421	4.4781	1	4.5447	1
358.113		691.0	402.0	1	668.0	438.0	1	680	420	4.4788	1	4.5462	1
361.433		689.0	401.0	1	666.0	437.0	1	678	419	4.4788	1	4.5425	1
364.939		691.0	401.0	1	663.0	435.0	1	677	418	4.4816	1	4.5452	1
368.192		690.0	398.0	1	665.0	437.0	1	678	417	4.4819	1	4.5515	1
371.52		690.0	397.0	1	667.0	440.0	1	678	418	4.4825	1	4.5563	1
375.085		691.0	398.0	1	666.0	437.0	1	678	417	4.4851	1	4.5577	1
378.154		688.0	400.0	1	666.0	431.0	1	677	415	4.4829	1	4.5468	1
381.674		690.0	402.0	1	664.0	433.0	1	677	417	4.4864	1	4.5539	1
385.043		692.0	398.0	1	664.0	431.0	1	678	414	4.4866	1	4.5561	1
388.48		688.0	398.0	1	665.0	430.0	1	676	414	4.4921	1	4.5546	1
391.785		687.0	398.0	1	668.0	431.0	1	678	414	4.4881	1	4.5543	1
395.293		688.0	401.0	1	663.0	434.0	1	676	417	4.4949	1	4.559	1
398.555		691.0	398.0	1	662.0	433.0	1	676	415	4.493	1	4.5565	1
401.896		691.0	398.0	1	663.0	432.0	1	677	415	4.4969	1	4.5536	1
405.227		689.0	398.0	1	664.0	432.0	1	676	415	4.5001	1	4.5553	1
408.599		689.0	398.0	1	664.0	432.0	1	676	415	4.5026	1	4.5563	1
412.183		688.0	400.0	1	665.0	435.0	1	676	417	4.503	1	4.5619	1
415.143		689.0	400.0	1	665.0	436.0	1	677	418	4.5032	1	4.5646	1
418.692		690.0	400.0	1	664.0	435.0	1	677	417	4.5064	1	4.5671	1
421.951		689.0	399.0	1	663.0	433.0	1	676	416	4.5058	1	4.5678	1
425.628		687.0	397.0	1	663.0	437.0	1	675	417	4.5048	1	4.5804	1
428.71		686.0	399.0	1	663.0	435.0	1	674	417	4.5056	1	4.5812	1
431.886		688.0	399.0	1	662.0	430.0	1	675	414	4.5065	1	4.5745	1
435.305		690.0	402.0	1	663.0	429.0	1	676	415	4.5103	1	4.5725	1
438.693		689.0	401.0	1	664.0	430.0	1	676	415	4.5061	1	4.5734	1
441.948		688.0	404.0	1	666.0	433.0	1	677	418	4.5137	1	4.5756	1
445.258		687.0	404.0	1	664.0	432.0	1	676	418	4.5177	1	4.5801	1
448.713		689.0	403.0	1	662.0	435.0	1	676	419	4.5135	1	4.5823	1
