trialType,trialID,blockID,leftImage,rightImage,label,video,trialDuration,trialStartSilence,trialEndSilence,AG,AGType,AGImage,AGAudio,AGVideo,AGTime,AGgetInput,AGWidth,AGHeight
AG,1,1,,,,,,,,1,movie,,balloons_5,balloons_5,5000,,,
training,2,1,B2,B4,bosas_lookcool,B2_B4,8000,,,,,,,,,,,
training,3,1,C2,C4,rengs_wowthose,C2_C4,8000,,,,,,,,,,,
training,4,1,A1,A3,doffs_seethese,A1_A3,8000,,,,,,,,,,,
training,5,1,C4,C1,rengs_seethese,C4_C1,8000,,,,,,,,,,,
AG,6,1,,,,,,,,1,movie,,balloons_5,balloons_5,5000,,,
training,7,1,A4,A1,doffs_wowthose,A4_A1,8000,,,,,,,,,,,
training,8,1,B3,B1,bosas_wowthose,B3_B1,8000,,,,,,,,,,,
training,9,1,C1,C3,rengs_lookcool,C1_C3,8000,,,,,,,,,,,
training,10,1,B4,B1,bosas_seethese,B4_B1,8000,,,,,,,,,,,
AG,11,1,,,,,,,,1,movie,,balloons_5,balloons_5,5000,,,
training,12,1,A4,A2,doffs_lookcool,A4_A2,8000,,,,,,,,,,,
training,13,1,B2,B3,bosas_seethese,B2_B3,8000,,,,,,,,,,,
training,14,1,C3,C2,rengs_seethese,C3_C2,8000,,,,,,,,,,,
training,15,1,A2,A3,doffs_seethese,A2_A3,8000,,,,,,,,,,,
AG,16,1,,,,,,,,1,movie,,balloons_5,balloons_5,5000,,,
